skingoal_healthy,skingoal_glowing,skingoal_clear,skingoal_hydrated,skingoal_protected,skingoal_balanced,skingoal_repaired,skingoal_calm,skingoal_bright,skingoal_rejuvenated,skingoal_restored,skinconcern_agingskin,skinconcern_acne,skinconcern_dryskin,skinconcern_firmnesselasticity,skinconcern_pigmentation,skinconcern_sensitivity,skintype,skinafterwash,tzoneoily,cloggedpores,fitzpatrick,gender,ethnicity,age,pregnant,vegan,currentproducts_cleanser,currentproducts_serum,currentproducts_eyecream,currentproducts_dailymoisturizer,currentproducts_spf,currentproducts_nightcream,getmatched
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashrough,tzoneoilysometimes,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicityasian,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashrough,tzoneoilysometimes,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicityasian,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashrough,tzoneoilysometimes,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicityasian,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_serum
1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,skintypedry,skinafterwashshiny,tzoneoilynotsure,cloggedporesnever,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,0,1,getmatched_cleanser
1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypenormal,skinafterwashshiny,tzoneoilysometimes,cloggedporesalways,fitzpatrick3,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilysometimes,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,1,0,1,0,0,getmatched_cleanser
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,skintypenotsure,skinafterwashtight,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick4,gendernonbinary,ethnicityhispanic,age5564,,veganno,0,0,0,1,0,0,getmatched_serum
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilysometimes,cloggedporesalways,fitzpatrick1,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,skintypeoily,skinafterwashnotsure,tzoneoilynotsure,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,1,1,1,1,1,0,getmatched_nightcream
1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,skintypeoily,skinafterwashnotsure,tzoneoilynotsure,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,1,1,1,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,skintypedry,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,skintypeoily,skinafterwashnotsure,tzoneoilynotsure,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,1,1,1,1,1,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypecombination,skinafterwashtight,tzoneoilyalways,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_eyecream
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypecombination,skinafterwashtight,tzoneoilyalways,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypecombination,skinafterwashtight,tzoneoilyalways,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesalways,fitzpatrick2,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_dailymoisturizer
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesalways,fitzpatrick2,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_cleanser
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0,0,0,0,0,0,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0,0,0,0,0,0,
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,1,1,1,1,0,0,getmatched_cleanser
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,1,1,1,1,0,0,getmatched_nightcream
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,1,1,1,1,0,0,getmatched_dailymoisturizer
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,1,1,1,1,0,0,getmatched_eyecream
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,1,1,1,1,0,0,getmatched_cleanser
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,1,1,1,1,0,0,getmatched_serum
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashnotsure,tzoneoilyalways,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitynativeamerican,age4554,pregnantno,veganno,1,0,0,1,0,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,skintypeoily,skinafterwashtight,tzoneoilysometimes,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganyes,1,1,1,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,skintypeoily,skinafterwashtight,tzoneoilysometimes,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganyes,1,1,1,1,1,0,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,skintypecombination,skinafterwashrough,tzoneoilysometimes,cloggedporesnotsure,fitzpatrick6,genderfemale,ethnicityhispanic,age2534,pregnantno,veganno,1,1,0,1,1,0,getmatched_nightcream
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,skintypeoily,skinafterwashtight,tzoneoilysometimes,cloggedporesalways,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantyes,veganno,1,0,1,1,1,1,getmatched_eyecream
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,skintypeoily,skinafterwashtight,tzoneoilysometimes,cloggedporesalways,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantyes,veganno,1,0,1,1,1,1,getmatched_dailymoisturizer
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,skintypedry,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick3,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypecombination,skinafterwashnotsure,tzoneoilyfrequently,cloggedporesalways,fitzpatrick5,genderfemale,ethnicityhispanic,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_dailymoisturizer
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypecombination,skinafterwashnotsure,tzoneoilyfrequently,cloggedporesalways,fitzpatrick5,genderfemale,ethnicityhispanic,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_nightcream
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypenotsure,skinafterwashhydrated,tzoneoilyfrequently,cloggedporesalways,fitzpatrick6,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganno,1,1,0,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporesalways,fitzpatrick6,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,0,0,1,0,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporesalways,fitzpatrick6,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,0,0,1,0,0,getmatched_dailymoisturizer
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,skintypeoily,skinafterwashtight,tzoneoilysometimes,cloggedporesalways,fitzpatrick4,genderfemale,ethnicityhispanic,age2534,pregnantno,veganno,1,1,1,1,1,1,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypenormal,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganyes,1,1,1,1,1,1,getmatched_serum
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilyalways,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,0,1,0,0,1,0,getmatched_dailymoisturizer
0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,skintypecombination,skinafterwashshiny,tzoneoilyfrequently,cloggedporesalways,fitzpatrick3,gendermale,ethnicityasian,age2534,,veganyes,0,1,0,0,0,0,getmatched_eyecream
1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,skintypeoily,skinafterwashhydrated,tzoneoilyalways,cloggedporesalways,fitzpatrick2,genderfemale,ethnicityhispanic,age4554,pregnantno,veganno,1,1,1,1,1,1,getmatched_nightcream
0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporesalways,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,1,1,1,0,0,getmatched_cleanser
0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporesalways,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,1,1,1,0,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypenotsure,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicityhispanic,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypedry,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick3,genderfemale,ethnicityasian,age4554,pregnantno,veganno,1,1,1,1,1,1,getmatched_eyecream
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypedry,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick3,genderfemale,ethnicityasian,age4554,pregnantno,veganno,1,1,1,1,1,1,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporesalways,fitzpatrick2,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganyes,1,1,1,1,1,1,getmatched_serum
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypeoily,skinafterwashtight,tzoneoilyalways,cloggedporesalways,fitzpatrick6,genderfemale,ethnicityhispanic,age1824,pregnantno,veganyes,1,1,1,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,skintypeoily,skinafterwashshiny,tzoneoilyalways,cloggedporesalways,fitzpatrick6,genderfemale,ethnicityasian,age2534,pregnantno,veganno,1,1,0,1,0,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilyfrequently,cloggedporesnotsure,fitzpatrick6,genderfemale,ethnicityasian,age1824,pregnantno,veganno,1,1,0,1,1,0,getmatched_dailymoisturizer
0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,skintypeoily,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,1,1,1,0,getmatched_serum
0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,skintypeoily,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,1,1,1,0,getmatched_cleanser
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypenormal,skinafterwashtight,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,1,1,0,1,1,0,getmatched_serum
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypenormal,skinafterwashtight,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,1,1,0,1,1,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,skintypedry,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicityasian,age1824,pregnantno,veganno,1,1,0,1,0,0,getmatched_eyecream
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporessometimes,fitzpatrick1,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganyes,1,1,0,1,1,1,getmatched_nightcream
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypecombination,,,,,,,,,,0,0,0,0,0,0,
0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypedry,skinafterwashrough,tzoneoilynever,cloggedporesalways,fitzpatrick1,genderfemale,ethnicityasian,age1824,pregnantno,veganno,1,1,0,1,0,0,getmatched_eyecream
0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypedry,skinafterwashrough,tzoneoilynever,cloggedporesalways,fitzpatrick1,genderfemale,ethnicityasian,age1824,pregnantno,veganno,1,1,0,1,0,0,getmatched_serum
0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,skintypedry,skinafterwashrough,tzoneoilynever,cloggedporesalways,fitzpatrick1,genderfemale,ethnicityasian,age1824,pregnantno,veganno,1,1,0,1,0,0,getmatched_cleanser
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypedry,skinafterwashrough,tzoneoilynotsure,cloggedporessometimes,,,,,,,0,0,0,0,0,0,
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,skintypenormal,skinafterwashtight,tzoneoilyalways,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicityasian,age2534,pregnantno,veganno,1,0,0,0,0,0,getmatched_dailymoisturizer
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,skintypedry,skinafterwashtight,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganyes,1,1,1,1,0,0,getmatched_serum
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,skintypedry,skinafterwashtight,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganyes,1,1,1,1,0,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypenormal,skinafterwashtight,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypedry,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick2,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,0,1,1,1,getmatched_dailymoisturizer
1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganyes,1,0,0,1,1,0,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypeoily,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick2,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,0,1,1,0,getmatched_serum
0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,skintypeoily,skinafterwashtight,tzoneoilysometimes,cloggedporessometimes,fitzpatrick6,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganno,0,1,0,0,0,0,getmatched_serum
1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganyes,1,0,0,1,1,0,getmatched_nightcream
1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganyes,1,0,0,1,1,0,getmatched_dailymoisturizer
